date,Month,Year,time,longitude,latitude,attack_type,location_description,nearest_country,eez_country,Country,shore_distance,shore_longitude,shore_latitude,attack_description,vessel_name,vessel_type,vessel_status,data_source,content2,content,corruption_index,homicide_rate,GDP,total_fisheries_per_ton,total_military,population,unemployment_rate,totalgr,industryofgdp
1/25/1994,January,1994,TIME UNK,103.3167,1.25,Boarded,STM-INDO,IDN,IDN,Indonesia,14.25915349,103.3664657,1.131170966,UNK,Aries Has,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in January 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
1/25/1994,January,1994,TIME UNK,119.9667,17.6833333,Boarded,HLH Area,PHL,PHL,Philippines,41.00942032,120.3532007,17.67812735,UNK,Hans Oldendorff,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in January 1994,NA,9.454268139,939.9186379,2746111,104000,68180859,3.670000076,0.163271116,0.325298949
1/27/1994,January,1994,TIME UNK,121.4,20,Hijacked,HLH Area,PHL,PHL,Philippines,56.02019796,121.8508407,20.27342357,UNK,Alicia Star,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Hijacked in January 1994,NA,9.454268139,939.9186379,2746111,104000,68180859,3.670000076,0.163271116,0.325298949
1/30/1994,January,1994,TIME UNK,110.7667,14.9,Boarded,HLH Area,VNM,VNM,Vietnam,107.257783,111.1941024,15.77610912,UNK,Kota Mulia,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in January 1994,NA,NA,221.1291812,1369993,700000,73651218,1.917999983,0.185592169,0.288684508
2/10/1994,February,1994,TIME UNK,43.1667,11.6666667,Hijacked,Somalia,DJI,DJI,Djibouti,6.285266935,43.15186608,11.61176179,UNK,MV Castor,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Hijacked in February 1994,NA,NA,790.0322652,320,8000,622366,10.67300034,0.243821901,NA
2/16/1994,February,1994,TIME UNK,121.5933,15.0133333,Boarded,"Manila Port, Philippines",PHL,PHL,Philippines,4.431694785,121.5600692,14.98965078,UNK,Nord Light,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in February 1994,NA,9.454268139,939.9186379,2746111,104000,68180859,3.670000076,0.163271116,0.325298949
2/21/1994,February,1994,TIME UNK,112.9,12.2833333,Attempted,South China Sea,CHN,CHN,China,202.7920642,114.2722274,11.04584382,UNK,Rita Del Mar,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in February 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
2/27/1994,February,1994,TIME UNK,121.6433,22.9833333,Boarded,HLH Area,TWN,TWN,Tuvalu,30.3015704,121.3816024,23.11066315,UNK,Keumgang Glory,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in February 1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/8/1994,March,1994,TIME UNK,116.95,-1.3666667,Boarded,Indonesia,IDN,IDN,Indonesia,14.04081611,116.9576929,-1.239922784,UNK,Timur Endurance,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in March 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
3/12/1994,March,1994,TIME UNK,106.3333,8.4666667,Attempted,Kampuchea,VNM,VNM,Vietnam,34.1164283,106.5783798,8.655462958,UNK,Santa Esmeralda,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in March 1994,NA,NA,221.1291812,1369993,700000,73651218,1.917999983,0.185592169,0.288684508
3/14/1994,March,1994,TIME UNK,-17.4247,14.676,Boarded,"Dakar Roads, Senegal",SEN,SEN,Senegal,0.261033934,-17.42682858,14.67487214,UNK,Peder Most,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in March 1994,NA,NA,580.1177072,359929,14000,8461068,5.577000141,0.141495241,0.218307983
3/15/1994,March,1994,TIME UNK,79.7583,6.945,Boarded,Sri Lanka,LKA,LKA,Sri Lanka,10.10893705,79.84815514,6.962144273,UNK,California Zeus,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in March 1994,NA,NA,647.5790491,248716.7,110000,18094477,13.02999973,0.172586352,0.264041902
3/20/1994,March,1994,TIME UNK,114.1945,22.555,Hijacked,"TCS No.2 Buoy, Hong Kong (Coded as Hong Kong Port)",CHN,CHN,China,2.7731864,114.2099716,22.53449128,UNK,Tequila,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Hijacked in March 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
3/25/1994,March,1994,TIME UNK,116.1167,22.6166667,Attempted,East China Sea,CHN,CHN,China,23.2708876,116.0956899,22.82590046,UNK,Khudozhnik N. Rer,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in March 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
3/26/1994,March,1994,TIME UNK,121.6433,25.9833333,Attempted,East China Sea,TWN,TWN,Tuvalu,77.79337613,121.5397242,25.28742097,UNK,Nordsung,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in March 1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/26/1994,March,1994,TIME UNK,114.2667,22.1166667,Boarded,East China Sea,CHN,CHN,China,6.397482952,114.2985946,22.06712474,UNK,Shun Ping,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in March 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
4/19/1994,April,1994,TIME UNK,110.4717,13.3883333,Boarded,South China Sea,VNM,VNM,Vietnam,121.1358888,109.4650171,12.91331615,UNK,Kota Indah,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in April 1994,NA,NA,221.1291812,1369993,700000,73651218,1.917999983,0.185592169,0.288684508
4/23/1994,April,1994,TIME UNK,121.22,19.6041667,Attempted,Philippines,PHL,PHL,Philippines,28.75848418,121.3508407,19.37592194,UNK,Forum Wind,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in April 1994,NA,9.454268139,939.9186379,2746111,104000,68180859,3.670000076,0.163271116,0.325298949
4/25/1994,April,1994,TIME UNK,106.9025,-6.0976667,Boarded,"Tanjung Priok Roads, Indonesia",IDN,IDN,Indonesia,7.190381219,106.8377385,-6.102715753,UNK,Ikan Beliak,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in April 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
5/3/1994,May,1994,TIME UNK,107.3,18.75,Hijacked,Gulf of Tonkin,VNM,CHN,Vietnam,114.7249447,106.4348251,18.12352123,UNK,M63807A,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Hijacked in May 1994,NA,NA,221.1291812,1369993,700000,73651218,1.917999983,0.185592169,0.288684508
5/8/1994,May,1994,TIME UNK,98.7007,3.7836667,Boarded,"Belawan Roads, Indonesia",IDN,IDN,Indonesia,2.482068608,98.71062259,3.803778387,UNK,Bangkok Navee,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in May 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
5/16/1994,May,1994,TIME UNK,-48.4877,-24.637,Boarded,"Santos Roads, Brazil",BRA,BRA,Brazil,62.48681319,-48.05158444,-25.03679778,UNK,Alaska,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in May 1994,NA,18.72351704,3500.61149,701251,296000,159432716,6.229000092,NA,0.346669432
5/17/1994,May,1994,TIME UNK,98.7007,3.7836667,Boarded,"Outer Anchorage, Dar Es Salaam, Tanzania",IDN,IDN,Indonesia,2.482068608,98.71062259,3.803778387,UNK,Finnwood,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in May 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
5/22/1994,May,1994,TIME UNK,119.95,17.6,Attempted,HLH Area,PHL,PHL,Philippines,41.03025732,120.3338322,17.55638255,UNK,Timber Trader XII,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in May 1994,NA,9.454268139,939.9186379,2746111,104000,68180859,3.670000076,0.163271116,0.325298949
5/24/1994,May,1994,TIME UNK,98.7007,3.7836667,Boarded,"Belawan, Indonesia",IDN,IDN,Indonesia,2.482068608,98.71062259,3.803778387,UNK,Nordstar,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in May 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
5/30/1994,May,1994,TIME UNK,-46.305,-24.637,Boarded,"Santos Roads, Brazil",BRA,BRA,Brazil,67.33122822,-46.59341387,-24.08953216,UNK,Cap Polonio,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in May 1994,NA,18.72351704,3500.61149,701251,296000,159432716,6.229000092,NA,0.346669432
5/30/1994,May,1994,TIME UNK,98.7007,3.7836667,Boarded,"Belawan Roads, Indonesia",IDN,IDN,Indonesia,2.482068608,98.71062259,3.803778387,UNK,Ocean GR,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in May 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
5/30/1994,May,1994,TIME UNK,117.5667,0.0833333,Boarded,Indonesia,IDN,IDN,Indonesia,8.356471608,117.5172632,0.140204169,UNK,Pacific Gas,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in May 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
6/4/1994,June,1994,TIME UNK,122.1667,6.1333333,Attempted,Philippines,PHL,PHL,Philippines,26.84000267,121.9404403,6.046087958,UNK,Wold Quince,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in June 1994,NA,9.454268139,939.9186379,2746111,104000,68180859,3.670000076,0.163271116,0.325298949
6/9/1994,June,1994,TIME UNK,-48.4877,-24.637,Boarded,"Alemoa Terminal, Santos, Brazil",BRA,BRA,Brazil,62.48681319,-48.05158444,-25.03679778,UNK,San Giovanni,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in June 1994,NA,18.72351704,3500.61149,701251,296000,159432716,6.229000092,NA,0.346669432
6/13/1994,June,1994,TIME UNK,118.0555,5.815,Boarded,"No.2 Jetty, Sandakan, Malaysia",MYS,MYS,Malaysia,0.761401104,118.0588485,5.808986721,UNK,Asian Venture,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in June 1994,NA,1.681891455,3728.111974,1182652,115000,19977500,3.619999886,0.221972736,0.400412358
6/15/1994,June,1994,TIME UNK,117.1383,-0.5401667,Boarded,"Samarinda Anchorage, Indonesia",IDN,IDN,Indonesia,33.74762115,117.2815048,-0.809177342,UNK,Toyo,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in June 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
6/19/1994,June,1994,TIME UNK,112.7235,-7.2038333,Boarded,"Wharf 108, Surabaya, Indonesia",IDN,IDN,Indonesia,1.955988514,112.7295028,-7.220472915,UNK,Bass Reefer,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in June 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
7/1/1994,July,1994,TIME UNK,117.6167,0.0333333,Boarded,Indonesia (Documented coordinates 2:00.0N/117:37.0E locates in a forested area. Recoded due N to 2:00.54N in the waterway nearby),IDN,IDN,Indonesia,10.9064988,117.5234481,0.003078518,UNK,Bonny,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in July 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
7/16/1994,July,1994,TIME UNK,114.1945,22.555,Attempted,"South Lamma DG, Hong Kong",CHN,CHN,China,2.7731864,114.2099716,22.53449128,UNK,Ervilia,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in July 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
7/17/1994,July,1994,TIME UNK,119.05,21.25,Attempted,South China Sea,TWN,TWN,Tuvalu,187.576441,120.7003687,21.94843171,UNK,Rheingas,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in July 1994,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/18/1994,July,1994,TIME UNK,-43.1913,-22.8765,Boarded,"Inner Roads, Rio de Janeiro, Brazil",BRA,BRA,Brazil,2.178646678,-43.17332923,-22.88697682,UNK,Mister Michael,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in July 1994,NA,18.72351704,3500.61149,701251,296000,159432716,6.229000092,NA,0.346669432
7/19/1994,July,1994,TIME UNK,115.8667,20.1333333,Attempted,HLH Area,CHN,TWN,China,266.8439144,114.3025008,22.04486726,UNK,New Hailee,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in July 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
7/26/1994,July,1994,TIME UNK,123.1867,29.63,Attempted,East China Sea,CHN,CHN,China,79.82176086,122.3951929,29.8333194,UNK,Kropotkin,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in July 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
7/26/1994,July,1994,TIME UNK,118.0833,5.8,Boarded,"Sandakan Anchorage, Malaysia",MYS,MYS,Malaysia,1.718180666,118.0810653,5.815375067,UNK,Gloria Ace,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in July 1994,NA,1.681891455,3728.111974,1182652,115000,19977500,3.619999886,0.221972736,0.400412358
8/2/1994,August,1994,TIME UNK,121.5933,15.0133333,Boarded,"Outer Road, Manila, Philippines",PHL,PHL,Philippines,4.431694785,121.5600692,14.98965078,UNK,Gorno Altaysk,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in August 1994,NA,9.454268139,939.9186379,2746111,104000,68180859,3.670000076,0.163271116,0.325298949
8/14/1994,August,1994,TIME UNK,-40.335,-20.3206667,Boarded,"Victoria Roads, Brazil",BRA,BRA,Brazil,1.243161264,-40.32394785,-20.32483816,UNK,Alexandergracht,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in August 1994,NA,18.72351704,3500.61149,701251,296000,159432716,6.229000092,NA,0.346669432
8/16/1994,August,1994,TIME UNK,-46.3093,-24.0703333,Boarded,"Santos Roads, 2nm S of Pt. Ross, Brazil (Measured 5km S of port)",BRA,BRA,Brazil,5.872718951,-46.28766842,-24.02117278,UNK,Maersk La Plata,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in August 1994,NA,18.72351704,3500.61149,701251,296000,159432716,6.229000092,NA,0.346669432
8/19/1994,August,1994,TIME UNK,120.9428,14.5211667,Boarded,"Manila Bay, Philippines",PHL,PHL,Philippines,3.658996985,120.9703882,14.50189851,UNK,Fukumaru,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in August 1994,NA,9.454268139,939.9186379,2746111,104000,68180859,3.670000076,0.163271116,0.325298949
8/21/1994,August,1994,TIME UNK,91.806,22.223,Boarded,"Karnaphuli River, Bangladesh",BGD,BGD,Bangladesh,1.163908905,91.81690514,22.22028229,UNK,MV Young II,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in August 1994,NA,NA,299.5330397,1034980,113000,112737683,2.411999941,NA,0.234699924
8/24/1994,August,1994,TIME UNK,105.9333,-6.0166667,Boarded,Indonesia,IDN,IDN,Indonesia,3.294167977,105.9570419,-5.998711847,UNK,Caroline Oldendorff,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in August 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
8/26/1994,August,1994,TIME UNK,105.9535,-6.0081667,Boarded,"Cigading Port, Indonesia",IDN,IDN,Indonesia,1.1166917,105.9570419,-5.998711847,UNK,Torben Spirit,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in August 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
8/31/1994,August,1994,TIME UNK,104.679,1.5505,Boarded,"Horsburg Lighthouse, Singapore Straits",IDN,MYS,Indonesia,37.74056299,104.5756942,1.225409247,UNK,Essberger Pioneer,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in August 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
8/31/1994,August,1994,TIME UNK,104.679,1.5505,Boarded,"Horsburg Lighthouse, Singapore Straits",IDN,MYS,Indonesia,37.74056299,104.5756942,1.225409247,UNK,C. Tahsin,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in August 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
9/9/1994,September,1994,TIME UNK,113.4667,18.3666667,Attempted,HLH Area,CHN,CHN,China,198.942011,112.3370874,16.9320336,UNK,Lyki,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in September 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
9/12/1994,September,1994,TIME UNK,106.8833,20.64,Boarded,"Haiphong Roads, Vietnam",VNM,VNM,Vietnam,9.072476433,106.8059188,20.67755768,UNK,Mekong Spring,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in September 1994,NA,NA,221.1291812,1369993,700000,73651218,1.917999983,0.185592169,0.288684508
9/17/1994,September,1994,TIME UNK,114.1558,22.3193333,Boarded,"SW Lamma Anchorage, Hong Kong",CHN,CHN,China,0.500998564,114.1595158,22.3222517,UNK,Maritime Omi,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in September 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
9/27/1994,September,1994,TIME UNK,119.0833,19.1333333,Attempted,HLH Area,PHL,PHL,Philippines,171.4002877,120.5608016,18.48676179,UNK,Chitra,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in September 1994,NA,9.454268139,939.9186379,2746111,104000,68180859,3.670000076,0.163271116,0.325298949
10/3/1994,October,1994,TIME UNK,113.45,11.6166667,Attempted,South China Sea,CHN,CHN,China,109.7420854,114.2722274,11.04584382,UNK,UNK,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in October 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
10/10/1994,October,1994,TIME UNK,-4,5.2931667,Boarded,"Abidjan Roads, Ivory Coast",CIV,CIV,Côte d'Ivoire,1.268660948,-3.999623176,5.30463288,UNK,Nordic Bulker,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in October 1994,NA,NA,605.2635873,74095,15000,13735433,4.938000202,0.137394798,0.210398239
10/16/1994,October,1994,TIME UNK,155.9033,-6.2583333,Attempted,"Bougainville Province, Papau New Guinea",PNG,PNG,Papua New Guinea,15.42236189,155.8133244,-6.364841404,UNK,Club Med II,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Attempted in October 1994,NA,NA,1086.291813,26466.32,4000,5065661,2.89199996,0.173766546,0.323110862
10/20/1994,October,1994,TIME UNK,-80.0867,-2.52,Boarded,"Guayaquil Port, Ecuador",ECU,ECU,Ecuador,4.446084967,-80.05553138,-2.545179946,UNK,Sea Wind,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in October 1994,NA,10.16238492,2026.112715,419344,57000,11208001,4.763000011,0.123398118,0.282500634
10/21/1994,October,1994,TIME UNK,112.7235,-7.2038333,Boarded,"Container Pier, Surabaya, Indonesia",IDN,IDN,Indonesia,1.955988514,112.7295028,-7.220472915,UNK,Estebrugge,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in October 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
10/25/1994,October,1994,TIME UNK,114.1217,22.16,Boarded,Hong Kong Anchorage,CHN,CHN,China,2.196548724,114.1108505,22.1770694,UNK,United Ambition,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in October 1994,NA,NA,473.4922787,28100000,2930000,1191835000,2.897000074,NA,0.461629873
10/25/1994,October,1994,TIME UNK,112.7235,-7.2038333,Boarded,"Inner Anchorage, Surabaya, Indonesia",IDN,IDN,Indonesia,1.955988514,112.7295028,-7.220472915,UNK,Reestborg,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in October 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
10/27/1994,October,1994,TIME UNK,107.3,-3,Boarded,Indonesia,IDN,IDN,Indonesia,12.89001061,107.3984536,-2.938427948,UNK,Windward,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in October 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
11/3/1994,November,1994,TIME UNK,106.8867,-6.0338333,Boarded,"Jakarta Roads, Indonesia",IDN,IDN,Indonesia,9.348946503,106.8377385,-6.102715753,UNK,Melgar,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in November 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
11/4/1994,November,1994,TIME UNK,-80.0867,-2.52,Boarded,"Guayaquil Port, Ecuador",ECU,ECU,Ecuador,4.446084967,-80.05553138,-2.545179946,UNK,Sea Wave,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in November 1994,NA,10.16238492,2026.112715,419344,57000,11208001,4.763000011,0.123398118,0.282500634
11/14/1994,November,1994,TIME UNK,107.2917,-3.025,Boarded,Indonesia,IDN,IDN,Indonesia,15.24744201,107.3984536,-2.938427948,UNK,Dove Arrow,UNK TYPE,UNK STATUS,mappingpiracy,Details Unknown,Unknown Vessel was Boarded in November 1994,NA,NA,912.2032751,4144434,280000,193917462,3.493999958,0.139474566,0.406420444
